id,rmsd,num_atoms,composition,volume_diff
A-329,21.644246498215924,20,Sb3 Sc10 Te7,2739.6799758894726
A-1447,16.43694236289578,14,B3 Mg1 N6 Sr4,7660.161484463405
A-1150,4.281253916209742,10,Ba1 Nd1 O6 Os1 Sr1,97.57938961340871
A-559,14.07939820011595,5,Eu1 Ga3 Zn1,2490.735613454983
A-1956,13.387018597827723,14,Ba4 Gd1 Nb1 O8,1164.0151135874823
A-545,32.356639529205864,32,Ir10 La6 Nd14 Os2,8913.458564507728
A-1596,25.853307785983475,36,Ho11 La8 Sc1 Sn16,13422.221567052911
A-1300,20.03378948174766,6,Ag3 Er2 Ga1,1002.6570952947169
A-1936,31.99434383991061,14,Cu2 Mn4 Se8,17108.645792745894
A-1043,37.5959708009928,32,Cs12 Ga1 Mo3 S16,23527.988633439854
A-454,21.753106094202614,18,Al2 Ga3 Ni10 Sm3,8335.401753566886
A-1774,15.698605563806908,9,Al3 Au1 Dy2 Tb1 Zn2,9993.78071541427
A-1135,20.374561152799917,12,Ce1 O8 U3,2771.213023824772
A-1149,16.97465579967339,5,Pd1 Yb2 Zn2,5228.022734006274
A-621,13.264328838304017,20,F12 Fe2 Li6,2210.1432835176847
A-749,26.022546217257855,20,Hf4 O12 Sr4,28249.83370101875
A-665,20.98583129373362,18,Dy8 Ga2 Lu4 Ni2 Os2,4481.482283814403
A-1443,28.92620407716867,36,Ho10 Sm8 Sn16 Tb2,7973.510816319599
A-542,11.382537430066947,10,Al1 B4 Mo4 V1,1627.901012890507
A-704,18.945359921447665,14,Li1 S8 Ti5,13517.42022594148
A-640,12.234904925197558,18,F12 Ge2 K2 Rb2,917.3989763081667
A-318,20.520194400330926,20,F12 Hg2 Li4 Zn2,7225.449513078611
A-1493,33.357628876563425,16,As2 K6 O8,14618.61623317571
A-1500,16.169207582966386,22,Er2 Ir4 O14 Pr1 Tb1,2345.8421979578607
A-638,22.60705396950645,6,Ce2 Ga2 Ge1 Si1,8840.12012174237
A-1525,34.21482009151208,17,Hf7 Sb1 Sn6 Zr3,13973.7862369627
A-1997,32.58239092793551,18,Ho10 Se2 Sn5 Tl1,17354.858803577503
A-33,12.712316578326128,12,Hg4 Pb4 Sr4,4678.837839820135
A-1407,14.36885918310997,8,Dy2 Hg4 Ho1 Na1,978.946445580809
A-870,24.909637660360186,20,Na4 O12 Ta4,1774.5432449235414
A-317,14.493735375640478,17,Al1 Ce4 Rh11 Si1,10740.68379228542
A-1113,18.521789364517314,8,Al1 Fe4 Ti3,1899.6225698012497
A-375,9.374637460987493,6,Te2 Tl4,1161.3938133043257
A-1000,15.187854227555862,12,Rh4 Sn4 Tm4,3773.8702735968145
A-1842,24.77275012058443,14,Na2 O8 Pt3 Zn1,5312.343223105616
A-803,25.519139859712023,28,Br16 Mn4 Na8,14437.72741493019
A-1984,18.405550529176914,12,Co4 Ga4 Lu4,5436.820028904078
A-70,23.914723068692506,8,Dy2 In2 Lu4,8885.286877570135
A-553,12.62348030237128,11,Hg2 P2 S7,7915.220141815881
A-149,23.129820499516264,8,Cd1 Cr1 F6,3209.4915206312735
